,record_id,sim_1_ranks,sim_2_ranks,sim_3_ranks,sim_4_ranks,sim_5_ranks,sim_6_ranks,sim_7_ranks,sim_8_ranks,sim_9_ranks,sim_10_ranks
0,88,10,18,7,7,20,7,1,16,16,10
1,400,31,22,39,15,21,18,30,15,17,17
2,466,26,44,30,40,35,44,42,27,46,44
3,490,12,19,13,13,12,15,19,42,21,12
4,542,17,14,9,10,3,3,8,12,8,8
5,588,15,12,1,1,14,13,5,14,10,1
6,624,45,1,31,26,46,21,44,45,2,41
7,733,4,16,12,12,1,9,7,5,15,13
8,734,16,15,8,9,4,5,9,11,11,7
9,753,34,3,32,39,34,27,33,36,36,37
10,758,25,41,29,41,26,37,28,22,40,33
11,1395,40,39,37,42,37,39,39,39,43,39
12,1405,43,25,38,16,38,19,32,40,20,20
13,1891,35,32,19,30,42,20,27,33,19,24
14,1959,5,9,2,4,5,10,4,4,9,3
15,2010,23,28,17,23,16,32,11,13,24,19
16,2255,36,5,23,24,43,22,21,37,22,22
17,2312,47,47,47,47,47,42,47,47,47,47
18,2377,13,21,40,14,15,16,37,8,13,16
19,2398,21,38,43,44,31,23,41,23,41,45
20,2475,1,8,6,3,10,6,3,1,5,5
21,2640,24,34,21,31,30,31,16,24,23,27
22,2768,39,27,18,22,24,24,43,25,35,21
23,3142,42,43,14,19,40,43,6,44,45,14
24,3186,8,17,10,11,11,12,10,17,33,11
25,3230,14,45,44,29,22,45,46,21,31,43
26,3376,27,6,28,35,18,29,36,31,38,36
27,3529,38,30,36,20,41,38,38,38,30,40
28,3621,37,2,33,38,32,28,35,34,1,35
29,3932,41,26,5,8,19,8,15,43,27,9
30,4056,9,11,11,6,6,11,13,7,12,6
31,4241,22,37,24,32,27,36,29,20,39,28
32,4421,20,35,42,37,2,34,31,10,26,25
33,4592,33,33,25,34,36,35,14,29,29,34
34,4597,29,7,26,28,29,25,22,32,34,31
35,4826,11,46,46,45,17,46,45,19,32,46
36,4842,30,31,22,33,28,33,23,30,25,26
37,4924,18,36,34,18,25,30,25,35,37,38
38,4990,7,10,3,5,8,2,12,9,7,4
39,5034,3,13,4,2,7,4,2,3,14,2
40,5147,44,40,20,36,39,40,17,41,44,29
41,5332,28,29,16,27,45,26,26,26,28,23
42,5386,6,42,27,21,13,47,18,18,42,30
43,5492,32,24,15,25,33,17,24,28,18,15
44,5655,46,4,45,46,44,41,40,46,4,42
45,5746,2,20,41,17,9,1,20,2,6,18
46,5791,19,23,35,43,23,14,34,6,3,32
