,Record ID,NB + TF-IDF,Log + TF-IDF,RF + TF-IDF,SVM + TF-IDF,Log + Doc2Vec,RF + Doc2Vec,SVM + Doc2Vec,Log + SBERT,RF + SBERT,SVM + SBERT,Average-Record-TD,SD
0,88,10,17,9,23,112,142,179,72,11,60,63.89,65.5
1,400,55,220,283,95,332,162,170,98,56,62,163.44,98.88
2,466,243,167,588,444,302,353,336,422,449,837,367.11,125.14
3,490,27,36,156,31,141,57,704,75,23,91,138.89,217.55
4,542,18,20,39,18,178,6,143,64,5,33,54.56,63.32
5,588,3,2,18,5,157,85,168,61,20,36,57.67,65.81
6,624,150,170,678,235,726,505,802,1,78,4,371.67,307.1
7,733,26,33,29,50,60,2,84,69,13,57,40.67,26.95
8,734,17,19,40,17,166,9,136,67,7,38,53.11,58.97
9,753,240,172,319,197,353,352,478,8,108,223,247.44,143.8
10,758,246,159,278,186,297,255,301,274,180,295,241.78,53.48
11,1395,270,196,449,233,466,372,586,251,245,341,340.89,133.85
12,1405,64,218,316,110,563,407,659,121,73,86,281.22,220.42
13,1891,205,100,259,140,369,473,463,166,75,75,250.0,151.51
14,1959,7,5,15,8,86,20,63,55,15,35,30.44,29.66
15,2010,103,93,55,101,289,96,153,151,148,106,132.11,67.32
16,2255,125,120,169,132,384,477,490,20,84,92,222.33,178.07
17,2312,1337,927,1554,1006,2708,3286,3119,793,412,881,1682.44,1075.64
18,2377,43,221,360,92,150,89,125,92,32,51,133.78,101.99
19,2398,369,329,508,491,255,331,304,220,87,304,321.56,130.35
20,2475,5,16,13,12,42,45,36,54,9,25,25.78,18.36
21,2640,206,115,118,156,294,324,325,168,133,104,204.33,87.39
22,2768,100,94,601,116,431,195,329,135,88,207,232.11,182.55
23,3142,82,48,24,77,556,433,722,415,431,784,309.78,256.85
24,3186,20,22,43,25,101,49,184,70,19,173,59.22,54.21
25,3230,185,428,959,402,155,170,271,459,514,148,393.67,251.29
26,3376,218,151,353,196,311,121,426,48,115,258,215.44,124.48
27,3529,97,195,420,234,406,456,507,161,198,140,297.11,149.61
28,3621,235,173,347,195,396,335,472,3,110,3,251.78,148.74
29,3932,13,13,88,19,517,130,714,132,12,110,182.0,255.41
30,4056,9,31,68,14,110,21,114,60,17,39,49.33,40.9
31,4241,207,121,280,157,260,288,252,202,165,266,214.67,59.03
32,4421,226,253,285,143,252,3,129,169,158,108,179.78,86.28
33,4592,215,126,85,187,340,358,364,167,160,129,222.44,105.3
34,4597,180,129,171,167,326,317,459,53,94,197,210.67,130.31
35,4826,460,565,689,530,115,110,239,467,563,165,415.33,209.59
36,4842,209,116,174,146,330,316,407,164,153,107,223.89,101.43
37,4924,74,184,197,225,224,199,475,191,123,231,210.22,110.7
38,4990,8,6,57,9,92,33,128,58,4,31,43.89,43.89
39,5034,4,8,12,6,59,24,56,62,6,53,26.33,25.23
40,5147,221,112,126,164,600,412,663,266,290,361,317.11,201.03
41,5332,170,90,238,135,312,498,332,156,106,115,226.33,133.22
42,5386,98,144,141,166,89,84,208,386,689,319,222.78,197.82
43,5492,129,62,188,80,333,336,344,105,44,66,180.11,125.18
44,5655,493,502,473,258,787,483,898,9,297,20,466.67,267.56
45,5746,71,223,159,100,57,40,53,90,3,26,88.44,66.54
46,5791,275,193,322,182,228,191,88,100,21,17,177.78,94.79
