Unnamed: 0,record_id,log_d2v,log_sb,log_tfidf,nb_tfidf,rf_d2v,rf_sb,rf_tfidf,svm_d2v,svm_sb,svm_tfidf
0,88,112,72,17,10,142,11,9,179,60,23
1,400,332,98,220,55,162,56,283,170,62,95
2,466,302,422,167,243,353,449,588,336,837,444
3,490,141,75,36,27,57,23,156,704,91,31
4,542,178,64,20,18,6,5,39,143,33,18
5,588,157,61,2,3,85,20,18,168,36,5
6,624,726,1,170,150,505,78,678,802,4,235
7,733,60,69,33,26,2,13,29,84,57,50
8,734,166,67,19,17,9,7,40,136,38,17
9,753,353,8,172,240,352,108,319,478,223,197
10,758,297,274,159,246,255,180,278,301,295,186
11,1395,466,251,196,270,372,245,449,586,341,233
12,1405,563,121,218,64,407,73,316,659,86,110
13,1891,369,166,100,205,473,75,259,463,75,140
14,1959,86,55,5,7,20,15,15,63,35,8
15,2010,289,151,93,103,96,148,55,153,106,101
16,2255,384,20,120,125,477,84,169,490,92,132
17,2312,2708,793,927,1337,3286,412,1554,3119,881,1006
18,2377,150,92,221,43,89,32,360,125,51,92
19,2398,255,220,329,369,331,87,508,304,304,491
20,2475,42,54,16,5,45,9,13,36,25,12
21,2640,294,168,115,206,324,133,118,325,104,156
22,2768,431,135,94,100,195,88,601,329,207,116
23,3142,556,415,48,82,433,431,24,722,784,77
24,3186,101,70,22,20,49,19,43,184,173,25
25,3230,155,459,428,185,170,514,959,271,148,402
26,3376,311,48,151,218,121,115,353,426,258,196
27,3529,406,161,195,97,456,198,420,507,140,234
28,3621,396,3,173,235,335,110,347,472,3,195
29,3932,517,132,13,13,130,12,88,714,110,19
30,4056,110,60,31,9,21,17,68,114,39,14
31,4241,260,202,121,207,288,165,280,252,266,157
32,4421,252,169,253,226,3,158,285,129,108,143
33,4592,340,167,126,215,358,160,85,364,129,187
34,4597,326,53,129,180,317,94,171,459,197,167
35,4826,115,467,565,460,110,563,689,239,165,530
36,4842,330,164,116,209,316,153,174,407,107,146
37,4924,224,191,184,74,199,123,197,475,231,225
38,4990,92,58,6,8,33,4,57,128,31,9
39,5034,59,62,8,4,24,6,12,56,53,6
40,5147,600,266,112,221,412,290,126,663,361,164
41,5332,312,156,90,170,498,106,238,332,115,135
42,5386,89,386,144,98,84,689,141,208,319,166
43,5492,333,105,62,129,336,44,188,344,66,80
44,5655,787,9,502,493,483,297,473,898,20,258
45,5746,57,90,223,71,40,3,159,53,26,100
46,5791,228,100,193,275,191,21,322,88,17,182
