,Record ID,NB + TF-IDF,Log + TF-IDF,RF + TF-IDF,SVM + TF-IDF,Log + Doc2Vec,RF + Doc2Vec,SVM + Doc2Vec,Log + SBERT,RF + SBERT,SVM + SBERT,Median,IQR
0,88,7,7,1,10,10,20,16,18,7,16,10.0,6.0
1,400,15,39,30,17,31,21,15,22,18,17,21.0,14.5
2,466,40,30,42,44,26,35,27,44,44,46,35.0,12.5
3,490,13,13,19,12,12,12,42,19,15,21,13.0,4.0
4,542,10,9,8,8,17,3,12,14,3,8,9.0,3.0
5,588,1,1,5,1,15,14,14,12,13,10,5.0,13.0
6,624,26,31,44,41,45,46,45,1,21,2,44.0,9.0
7,733,12,12,7,13,4,1,5,16,9,15,7.0,7.5
8,734,9,8,9,7,16,4,11,15,5,11,9.0,2.5
9,753,39,32,33,37,34,34,36,3,27,36,34.0,3.0
10,758,41,29,28,33,25,26,22,41,37,40,28.0,5.5
11,1395,42,37,39,39,40,37,39,39,39,43,39.0,1.5
12,1405,16,38,32,20,43,38,40,25,19,20,38.0,13.0
13,1891,30,19,27,24,35,42,33,32,20,19,30.0,8.5
14,1959,4,2,4,3,5,5,4,9,10,9,4.0,1.0
15,2010,23,17,11,19,23,16,13,28,32,24,17.0,6.5
16,2255,24,23,21,22,36,43,37,5,22,22,24.0,14.0
17,2312,47,47,47,47,47,47,47,47,42,47,47.0,0.0
18,2377,14,40,37,16,13,15,8,21,16,13,15.0,13.0
19,2398,44,43,41,45,21,31,23,38,23,41,41.0,16.5
20,2475,3,6,3,5,1,10,1,8,6,5,3.0,3.5
21,2640,31,21,16,27,24,30,24,34,31,23,24.0,6.0
22,2768,22,18,43,21,39,24,25,27,24,35,24.0,10.5
23,3142,19,14,6,14,42,40,44,43,43,45,19.0,27.0
24,3186,11,10,10,11,8,11,17,17,12,33,11.0,1.0
25,3230,29,44,46,43,14,22,21,45,45,31,29.0,22.0
26,3376,35,28,36,36,27,18,31,6,29,38,31.0,8.0
27,3529,20,36,38,40,38,41,38,30,38,30,38.0,2.0
28,3621,38,33,35,35,37,32,34,2,28,1,35.0,2.5
29,3932,8,5,15,9,41,19,43,26,8,27,15.0,21.5
30,4056,6,11,13,6,9,6,7,11,11,12,7.0,4.0
31,4241,32,24,29,28,22,27,20,37,36,39,27.0,5.5
32,4421,37,42,31,25,20,2,10,35,34,26,25.0,19.0
33,4592,34,25,14,34,33,36,29,33,35,29,33.0,7.0
34,4597,28,26,22,31,29,29,32,7,25,34,29.0,3.0
35,4826,45,46,45,46,11,17,19,46,46,32,45.0,27.5
36,4842,33,22,23,26,30,28,30,31,33,25,28.0,5.5
37,4924,18,34,25,38,18,25,35,36,30,37,25.0,13.0
38,4990,5,3,12,4,7,8,9,10,2,7,7.0,4.0
39,5034,2,4,2,2,3,7,3,13,4,14,3.0,1.5
40,5147,36,20,17,29,44,39,41,40,40,44,36.0,15.5
41,5332,27,16,26,23,28,45,26,29,26,28,26.0,3.0
42,5386,21,27,18,30,6,13,18,42,47,42,18.0,8.5
43,5492,25,15,24,15,32,33,28,24,17,18,25.0,10.5
44,5655,46,45,40,42,46,44,46,4,41,4,45.0,3.0
45,5746,17,41,20,18,2,9,2,20,1,6,17.0,13.5
46,5791,43,35,34,32,19,23,6,23,14,3,32.0,13.5
