,record_id,NB + TF-IDF,Log + TF-IDF,RF + TF-IDF,SVM + TF-IDF,Log + Doc2Vec,RF + Doc2Vec,SVM + Doc2Vec,Log + SBERT,RF + SBERT,SVM + SBERT
0,88,10,17,9,23,112,142,179,72,11,60
1,400,55,220,283,95,332,162,170,98,56,62
2,466,243,167,588,444,302,353,336,422,449,837
3,490,27,36,156,31,141,57,704,75,23,91
4,542,18,20,39,18,178,6,143,64,5,33
5,588,3,2,18,5,157,85,168,61,20,36
6,624,150,170,678,235,726,505,802,1,78,4
7,733,26,33,29,50,60,2,84,69,13,57
8,734,17,19,40,17,166,9,136,67,7,38
9,753,240,172,319,197,353,352,478,8,108,223
10,758,246,159,278,186,297,255,301,274,180,295
11,1395,270,196,449,233,466,372,586,251,245,341
12,1405,64,218,316,110,563,407,659,121,73,86
13,1891,205,100,259,140,369,473,463,166,75,75
14,1959,7,5,15,8,86,20,63,55,15,35
15,2010,103,93,55,101,289,96,153,151,148,106
16,2255,125,120,169,132,384,477,490,20,84,92
17,2312,1337,927,1554,1006,2708,3286,3119,793,412,881
18,2377,43,221,360,92,150,89,125,92,32,51
19,2398,369,329,508,491,255,331,304,220,87,304
20,2475,5,16,13,12,42,45,36,54,9,25
21,2640,206,115,118,156,294,324,325,168,133,104
22,2768,100,94,601,116,431,195,329,135,88,207
23,3142,82,48,24,77,556,433,722,415,431,784
24,3186,20,22,43,25,101,49,184,70,19,173
25,3230,185,428,959,402,155,170,271,459,514,148
26,3376,218,151,353,196,311,121,426,48,115,258
27,3529,97,195,420,234,406,456,507,161,198,140
28,3621,235,173,347,195,396,335,472,3,110,3
29,3932,13,13,88,19,517,130,714,132,12,110
30,4056,9,31,68,14,110,21,114,60,17,39
31,4241,207,121,280,157,260,288,252,202,165,266
32,4421,226,253,285,143,252,3,129,169,158,108
33,4592,215,126,85,187,340,358,364,167,160,129
34,4597,180,129,171,167,326,317,459,53,94,197
35,4826,460,565,689,530,115,110,239,467,563,165
36,4842,209,116,174,146,330,316,407,164,153,107
37,4924,74,184,197,225,224,199,475,191,123,231
38,4990,8,6,57,9,92,33,128,58,4,31
39,5034,4,8,12,6,59,24,56,62,6,53
40,5147,221,112,126,164,600,412,663,266,290,361
41,5332,170,90,238,135,312,498,332,156,106,115
42,5386,98,144,141,166,89,84,208,386,689,319
43,5492,129,62,188,80,333,336,344,105,44,66
44,5655,493,502,473,258,787,483,898,9,297,20
45,5746,71,223,159,100,57,40,53,90,3,26
46,5791,275,193,322,182,228,191,88,100,21,17
